[23:55:03] [INFO] received Windows console close event; shutting log-core down
[23:57:01] [INFO] received Windows console close event; shutting log-core down
[00:14:19] [INFO] received Windows console close event; shutting log-core down
[00:14:20] [INFO] received Windows console close event; shutting log-core down
[00:39:36] [INFO] received Windows console close event; shutting log-core down
[00:56:15] [INFO] received Windows console close event; shutting log-core down
[01:19:01] [INFO] received Windows console close event; shutting log-core down
[01:42:03] [INFO] received Windows console close event; shutting log-core down
[02:58:34] [INFO] received Windows console close event; shutting log-core down
[03:39:00] [INFO] received Windows console close event; shutting log-core down
[03:41:30] [INFO] received Windows console close event; shutting log-core down
[03:48:02] [INFO] received Windows console close event; shutting log-core down
[04:13:21] [INFO] received Windows console close event; shutting log-core down
[21:05:26] [INFO] received Windows console close event; shutting log-core down
[21:10:49] [INFO] received Windows console close event; shutting log-core down
[22:30:04] [INFO] received Windows console close event; shutting log-core down
[23:00:12] [INFO] received Windows console close event; shutting log-core down
[23:14:18] [INFO] received Windows console close event; shutting log-core down
[23:23:23] [INFO] received Windows console close event; shutting log-core down
[00:37:17] [INFO] received Windows console close event; shutting log-core down
[01:32:43] [INFO] received Windows console close event; shutting log-core down
[01:48:33] [INFO] received Windows console close event; shutting log-core down
[01:51:14] [INFO] received Windows console close event; shutting log-core down
[01:51:48] [INFO] received Windows console close event; shutting log-core down
[03:28:57] [INFO] received Windows console close event; shutting log-core down
[03:29:10] [INFO] received Windows console close event; shutting log-core down
[15:03:59] [INFO] received Windows console close event; shutting log-core down
[16:43:03] [INFO] received Windows console close event; shutting log-core down
[19:03:49] [INFO] received Windows console close event; shutting log-core down
[21:34:11] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:36:19] [INFO] received Windows console close event; shutting log-core down
[02:44:14] [INFO] received Windows console close event; shutting log-core down
[14:24:40] [INFO] received Windows console close event; shutting log-core down
[14:46:28] [INFO] received Windows console close event; shutting log-core down
[15:21:38] [INFO] received Windows console close event; shutting log-core down
[15:22:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:23:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:27:21] [INFO] received Windows console close event; shutting log-core down
[15:29:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
